job_title,salary_estimate,rating,company_name,location,latitude,longitude,headquarters,size,type_of_ownership,industry,sector,revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
Data Scientist,75-131 ,3.8,Analysis Group,"Boston, MA",42.3554334,-71.060511,"Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),75,131,103, MA,1,39,1,1,0,0,1,0,0,data scientist,na
Data Scientist / Machine Learning Expert,75-131 ,3.9,Novartis,"Cambridge, MA",42.3750997,-71.1056157,"Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103, MA,0,24,1,0,0,0,0,0,0,data scientist,na
Data Scientist,75-131 ,5.0,Cohere Health,"Boston, MA",42.3554334,-71.060511,"Boston, MA",1 to 50 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,75,131,103, MA,1,1,1,1,0,0,0,0,0,data scientist,na
Senior Research Statistician- Data Scientist,75-131 ,4.8,Acuity Insurance,"Sheboygan, WI",43.7128967,-87.9370433,"Sheboygan, WI",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),75,131,103, WI,1,95,0,0,0,0,0,0,0,data scientist,senior
Data Engineer,75-131 ,3.6,Chef,United States,39.7837304,-100.445882,"Seattle, WA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75,131,103,US,0,12,0,1,0,0,1,0,1,data engineer,na
Associate Data Scientist,75-131 ,3.3,Puget Sound Energy,"Bothell, WA",47.7623204,-122.2054035,"Bellevue, WA",1001 to 5000 employees,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),75,131,103, WA,0,21,0,1,1,1,0,0,0,data scientist,na
Business Intelligence Analyst,75-131 ,2.7,Sandhills Global,"Lincoln, NE",40.8088861,-96.7077751,"Lincoln, NE",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75,131,103, NE,1,42,1,1,0,0,0,1,0,analyst,na
Data Scientist,75-131 ,2.7,A Place for Mom,"Overland Park, KS",38.9742502,-94.6851702,"New York, NY",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,75,131,103, KS,0,20,1,1,0,0,1,0,0,data scientist,na
Data Scientist,75-131 ,2.2,Great-Circle Technologies,"Chantilly, VA",38.8788355,-77.40221718011088,"Chantilly, VA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),75,131,103, VA,1,20,1,1,1,1,1,0,0,data scientist,na
Senior Analyst/Data Scientist,75-131 ,3.4,Edmunds.com,"Santa Monica, CA",34.0194704,-118.491227,"Santa Monica, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),75,131,103, CA,1,54,1,1,0,0,1,1,0,data scientist,senior
Data Analyst,75-131 ,3.1,"Cambridge Associates, LLC","Boston, MA",42.3554334,-71.060511,"Boston, MA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),75,131,103, MA,1,47,1,1,0,0,0,0,0,analyst,na
Machine Learning Engineer,75-131 ,3.4,Liberty Mutual Insurance,"Portsmouth, NH",43.0702223,-70.7548621,"Boston, MA",10000+ employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),75,131,103, NH,0,108,1,1,0,1,1,0,1,mle,na
Data Analyst I,75-131 ,2.6,Cenlar,"Ewing, NJ",40.2688105,-74.8006895,"Ewing, NJ",1001 to 5000 employees,Company - Private,-1,-1,$100 to $500 million (USD),75,131,103, NJ,1,62,0,0,0,0,0,0,0,analyst,na
Scientist - Molecular Biology,75-131 ,5.0,Arsenal Biosciences,"South San Francisco, CA",37.6535403,-122.4168664,"South San Francisco, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,75,131,103, CA,1,1,0,0,0,0,0,0,0,na,na
Data Scientist,75-131 ,4.2,Eversight,"Palo Alto, CA",37.4443293,-122.1598465,"Palo Alto, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),75,131,103, CA,1,7,1,0,0,0,0,0,0,data scientist,na
"Computational Scientist, Machine Learning",75-131 ,4.1,Pfizer,"Cambridge, MA",42.3750997,-71.1056157,"New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103, MA,0,171,1,1,0,0,1,0,0,mle,na
Senior Data Scientist,75-131 ,4.8,Klaviyo,"Boston, MA",42.3554334,-71.060511,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,75,131,103, MA,1,8,0,0,0,0,0,0,0,data scientist,senior
Data Scientist,75-131 ,3.3,Intellectual Ventures,"Bellevue, WA",47.6144219,-122.192337,"Bellevue, WA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,75,131,103, WA,1,20,1,1,0,0,0,0,0,data scientist,na
Data Scientist,75-131 ,3.7,GovTech,"San Francisco, CA",37.7790262,-122.419906,"Singapore, Singapore",1001 to 5000 employees,Government,Federal Agencies,Government,Unknown / Non-Applicable,75,131,103, CA,0,4,1,1,0,0,0,1,0,data scientist,na
Data Scientist,75-131 ,4.3,Quick Base,"Cambridge, MA",42.3750997,-71.1056157,"Cambridge, MA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75,131,103, MA,1,21,1,1,0,0,0,1,0,data scientist,na
Data Analyst,75-131 ,4.8,Giving Assistant,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),75,131,103, CA,1,6,1,1,0,0,0,1,0,analyst,na
Data Scientist,75-131 ,3.7,Takeda,"Cambridge, MA",42.3750997,-71.1056157,"OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103, MA,0,239,1,0,0,1,0,0,0,data scientist,na
Data Scientist,75-131 ,4.0,Netskope,"San Francisco, CA",37.7790262,-122.419906,"Santa Clara, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75,131,103, CA,0,8,1,1,0,1,0,0,1,data scientist,na
E-Commerce Data Analyst,75-131 ,3.5,iSeatz,"New Orleans, LA",29.9759983,-90.0782127,"New Orleans, LA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75,131,103, LA,1,21,0,1,0,0,0,0,0,analyst,na
Data Analytics Engineer,75-131 ,3.7,Summa Health System,"Akron, OH",41.083064,-81.518485,"Akron, OH",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),75,131,103, OH,1,94,0,1,0,0,1,1,0,na,na
Senior Data Scientist,75-131 ,3.5,Benson Hill,"Saint Louis, MO",38.6280278,-90.1910154,"Saint Louis, MO",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),75,131,103, MO,1,8,1,1,0,0,0,0,1,data scientist,senior
Product Data Scientist - Ads Data Science,75-131 ,4.1,Twitter,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),75,131,103, CA,1,14,1,0,0,0,0,0,0,data scientist,na
Data Scientist,75-131 ,3.2,Postmates - Corporate HQ,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",1001 to 5000 employees,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,75,131,103, CA,1,9,1,0,0,1,0,0,0,data scientist,na
Data Scientist - Intermediate,75-131 ,4.5,Envision LLC,"Saint Louis, MO",38.6280278,-90.1910154,"Saint Louis, MO",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),75,131,103, MO,1,26,1,1,0,0,0,0,0,data scientist,na
Data Analyst,75-131 ,3.8,Swiss Re,"Fort Wayne, IN",41.0799898,-85.1386015,"Zurich, Switzerland",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),75,131,103, IN,0,157,1,1,0,0,0,0,0,analyst,na
Machine Learning Engineer,75-131 ,4.5,Systems & Technology Research,"Woburn, MA",42.4792618,-71.1522766,"Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),75,131,103, MA,1,10,1,1,0,0,0,0,0,mle,na
Data Scientist,79-131 ,3.5,iRobot,"Bedford, MA",42.4917301,-71.2817947,"Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),79,131,105, MA,1,30,1,0,0,0,0,0,0,data scientist,na
Data Scientist,79-131 ,4.2,HG Insights,"Santa Barbara, CA",34.4221319,-119.702667,"Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,79,131,105, CA,1,10,1,1,1,1,0,0,0,data scientist,na
Global Data Analyst,79-131 ,3.8,Dermalogica,"Carson, CA",33.8322043,-118.2517547,"Carson, CA",201 to 500 employees,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),79,131,105, CA,1,34,0,1,0,0,0,1,0,analyst,na
Data Engineer,79-131 ,3.7,Bayview Asset Management,"Coral Gables, FL",25.72149,-80.2683838,"Coral Gables, FL",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),79,131,105, FL,1,25,1,0,0,0,0,0,0,data engineer,na
Data Scientist,79-131 ,3.7,Via Transportation,"New York, NY",40.7127281,-74.0060152,"New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79,131,105, NY,1,8,1,0,0,0,0,1,0,data scientist,na
Data Scientist,79-131 ,4.0,Grid Dynamics,"Santa Clara, CA",37.2333253,-121.6846349,"San Ramon, CA",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),79,131,105, CA,0,14,1,1,0,0,0,1,1,data scientist,na
Data & Machine Learning Scientist,79-131 ,3.3,Tempus Labs,"Chicago, IL",41.8755616,-87.6244212,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, IL,1,5,1,0,0,0,1,0,0,mle,na
Data Scientist - Machine Learning,79-131 ,2.5,CareDx,"Brisbane, CA",37.687165,-122.402794,"Brisbane, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, CA,1,-1,1,1,0,1,0,0,0,data scientist,na
Data Engineer (Remote),79-131 ,4.2,IZEA,"Winter Park, FL",28.5977707,-81.3510264,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),79,131,105, FL,1,14,1,1,1,1,1,0,0,data engineer,na
"Data Scientist, Applied Machine Learning - Bay Area",79-131 ,3.3,Tempus Labs,"Redwood City, CA",37.4863239,-122.232523,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, CA,0,5,1,0,0,0,1,0,0,data scientist,na
Principal Data Scientist,79-131 ,4.0,Autodesk,"San Francisco, CA",37.7790262,-122.419906,"San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),79,131,105, CA,0,38,1,1,1,1,1,0,1,data scientist,senior
Business Data Analyst,79-131 ,3.7,Caterpillar,"Peoria, IL",40.6938609,-89.5891008,"Deerfield, IL",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),79,131,105, IL,0,95,0,1,0,0,0,1,0,analyst,na
Purification Scientist,79-131 ,4.9,New England Biolabs,"Ipswich, MA",52.0579324,1.1528095,"Ipswich, MA",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, MA,1,46,0,0,0,0,0,0,0,na,na
Data Analyst,79-131 ,3.4,Allied Solutions,"Carmel, IN",39.9788017,-86.1189257,"Carmel, IN",1001 to 5000 employees,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),79,131,105, IN,1,19,1,1,0,0,0,1,0,analyst,na
"Data Engineer, Enterprise Analytics",79-131 ,3.1,Healthfirst,"New York, NY",40.7127281,-74.0060152,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,79,131,105, NY,1,27,1,1,0,0,0,0,1,data engineer,na
Data Scientist,79-131 ,3.5,The Knot Worldwide,"Washington, DC",38.8950368,-77.0365427,"Chevy Chase, MD",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79,131,105, DC,0,1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,79-131 ,2.9,IFG Companies,"New York, NY",40.7127281,-74.0060152,"Hartford, CT",201 to 500 employees,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,79,131,105, NY,0,35,1,0,0,0,0,0,0,data scientist,na
Data Scientist 3 (718),79-131 ,3.3,Amyris,"Emeryville, CA",37.8314089,-122.2865266,"Emeryville, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),79,131,105, CA,1,17,1,0,0,0,1,0,0,data scientist,na
"Real World Science, Data Scientist",79-131 ,4.0,AstraZeneca,"Gaithersburg, MD",39.1399187,-77.1929215,"Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79,131,105, MD,0,107,1,0,1,0,0,0,0,data scientist,na
Data Scientist,79-131 ,3.6,Powertek,"Washington, DC",38.8950368,-77.0365427,"Rockville, MD",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),79,131,105, DC,0,19,0,0,0,0,0,0,0,data scientist,na
Data Engineer,79-131 ,4.7,Object Partners,"Saint Louis, MO",38.6280278,-90.1910154,"Minneapolis, MN",51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),79,131,105, MO,0,24,0,0,1,1,1,0,1,data engineer,na
Data Scientist - Image and Video Analytics,79-131 ,4.9,The Mom Project,"Longmont, CO",40.1672117,-105.1019287,"Chicago, IL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,79,131,105, CO,0,4,1,0,1,1,1,0,0,data scientist,na
Data Scientist,79-131 ,4.3,Lightspeed Systems,"Austin, TX",30.2711286,-97.7436995,"Austin, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),79,131,105, TX,1,21,1,0,0,1,1,0,0,data scientist,na
"Data Science Manager, Payment Acceptance - USA",79-131 ,4.0,Stripe,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79,131,105, CA,1,10,1,0,0,0,0,0,0,manager,na
Data Analyst,79-131 ,2.6,Comprehensive Healthcare,"Yakima, WA",46.601557,-120.510842,"Yakima, WA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,79,131,105, WA,1,49,0,0,0,0,0,0,0,analyst,na
Data Scientist / Applied Mathematician,79-131 ,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA",37.050096,-121.9905908,"Santa Cruz, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),79,131,105, CA,1,17,1,0,0,0,1,0,1,data scientist,na
Machine Learning Engineer,79-131 ,4.8,Klaviyo,"Boston, MA",42.3554334,-71.060511,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,79,131,105, MA,1,8,1,0,0,0,0,0,0,mle,na
Data Scientist,79-131 ,3.9,Mars,United States,39.7837304,-100.445882,"Mc Lean, VA",10000+ employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),79,131,105,US,0,109,1,0,0,1,1,0,0,data scientist,na
Patient Safety- Associate Data Scientist,79-131 ,4.0,AstraZeneca,"Gaithersburg, MD",39.1399187,-77.1929215,"Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79,131,105, MD,0,107,1,1,0,0,0,0,0,data scientist,na
Machine Learning Engineer,79-131 ,4.4,NuWave Solutions,"Springfield, VA",38.7767435,-77.1807019310668,"Mc Lean, VA",51 to 200 employees,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),79,131,105, VA,0,21,1,0,1,1,1,0,0,mle,na
Senior Data Scientist,79-131 ,4.2,ManTech,"Alexandria, VA",38.8051095,-77.0470229,"Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),79,131,105, VA,0,52,1,0,1,1,0,1,1,data scientist,senior
Data Scientist,99-132 ,3.4,Mathematica Policy Research,"Washington, DC",38.8950368,-77.0365427,"Princeton, NJ",1001 to 5000 employees,Company - Private,Consulting,Business Services,$100 to $500 million (USD),99,132,115, DC,0,34,1,1,0,0,1,0,0,data scientist,na
Staff Data Scientist - Analytics,99-132 ,4.4,Intuit - Data,"San Diego, CA",32.7174202,-117.1627728,"Mountain View, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),99,132,115, CA,0,37,0,0,0,0,0,0,0,data scientist,na
Data Analytics Engineer,99-132 ,3.5,QOMPLX,"Reston, VA",38.953055899999995,-77.35021396591173,"Reston, VA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),99,132,115, VA,1,5,1,0,0,1,0,0,0,na,na
"Data Scientist, Kinship - NYC/Portland",99-132 ,3.9,Mars,"New York, NY",40.7127281,-74.0060152,"Mc Lean, VA",10000+ employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),99,132,115, NY,0,109,1,0,0,1,0,0,0,data scientist,na
Senior Data Scientist,99-132 ,3.8,GutCheck,"Denver, CO",39.7392364,-104.984862,"Denver, CO",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),99,132,115, CO,1,11,0,0,0,0,0,0,0,data scientist,senior
Applied Technology Researcher / Data Scientist,99-132 ,3.5,Inter-American Development Bank,"Washington, DC",38.8950368,-77.0365427,"Washington, DC",1001 to 5000 employees,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),99,132,115, DC,1,61,0,1,0,0,0,1,0,data scientist,na
Machine Learning Engineer,99-132 ,4.4,Stratagem Group,"Aurora, CO",41.7571701,-88.3147539,"Aurora, CO",1 to 50 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,99,132,115, CO,1,13,1,1,1,1,1,0,0,mle,na
